,Hokkaido,Aomori,Iwate,Miyagi,Akita,Yamagata,Fukushima,Ibaraki,Tochigi,Gunma,Saitama,Chiba,Tokyo,Kanagawa,Niigata,Toyama,Ishikawa,Fukui,Yamanashi,Nagano,Gifu,Shizuoka,Aichi,Mie,Shiga,Kyoto,Osaka,Hyogo,Nara,Wakayama,Tottori,Shimane,Okayama,Hiroshima,Yamaguchi,Tokushima,Kagawa,Ehime,Kochi,Fukuoka,Saga,Nagasaki,Kumamoto,Oita,Miyazaki,Kagoshima,Okinawa
Hokkaido,602851,2611,340,2276,310,733,473,3474,754,2547,7128,1507,5374,3752,3986,1277,223,112,90,303,366,2262,1415,132,410,678,10105,2108,26,183,0,0,160,648,581,53,69,50,113,1189,101,0,3,0,2,6,0
Aomori,1424,285543,10180,3315,3438,405,6019,899,476,1293,4225,1148,3332,1974,693,30,24,29,77,209,39,153,660,33,36,84,1596,496,38,2,20,2,249,28,15,6,11,12,0,94,0,83,134,2,145,132,0
Iwate,1117,6376,258988,30191,2454,2033,1640,1695,1508,806,3780,1412,2398,3010,548,56,215,41,14,124,0,1654,1396,123,16,145,325,737,8,21,6,0,64,30,0,1,0,8,1,70,29,0,17,4,12,17,0
Miyagi,2961,7408,20241,248822,13090,15518,24992,3263,3291,1501,15070,5878,5159,6645,3543,5232,295,60,35,815,84,2854,2512,1057,72,69,1277,2382,9,60,1,4,16,144,75,18,29,3,2,377,3,11,180,12,3,3,1
Akita,854,1697,4580,3111,145474,1300,1165,1161,219,450,2080,495,1031,1276,2623,113,85,53,6,150,643,753,1705,91,7,251,341,442,1,0,3,0,25,2,0,0,1,0,0,19,0,1,7,1,0,1,0
Yamagata,191,1217,1516,10109,3308,104878,1858,1858,1124,746,2836,1525,3717,3703,4511,98,172,108,85,256,80,205,1148,265,82,225,1165,990,11,1,65,3,388,175,43,8,53,4,1,463,102,0,12,17,0,6,16
Fukushima,2160,2275,2948,58151,526,5204,233996,14054,10947,4676,11984,5834,6514,10148,3717,203,407,82,370,666,662,2737,3225,936,347,196,1566,917,14,57,7,15,2671,687,58,8,283,63,3,321,6,5,24,208,18,11,0
Ibaraki,5712,518,1485,13965,1451,661,11333,283211,53003,16565,36052,84268,36907,41851,6015,1701,526,543,1922,3083,1148,8496,8875,2709,2536,2588,8659,3956,375,868,48,68,2382,625,720,224,137,257,23,2105,580,65,211,104,530,95,10
Tochigi,1696,2745,2450,4506,1196,2702,4931,80346,212266,35604,49048,17108,34641,22316,7475,884,345,788,1010,6761,861,5049,8786,1832,1009,1494,7087,2321,164,100,126,251,4127,724,382,304,189,139,5,1473,627,14,277,72,67,181,56
Gunma,1589,783,682,4796,795,726,6040,18451,14692,190948,41566,15774,35817,26860,2896,580,385,88,2709,4593,1562,3525,14121,5013,1196,1552,9172,3247,641,104,96,51,1146,1606,308,67,435,478,106,1637,160,40,195,179,316,59,50
Saitama,5218,1398,1389,5879,424,2423,9713,74969,24709,34804,445094,57055,207562,64502,9035,1060,438,708,34074,7163,2005,10074,15604,3148,2193,1376,5571,4424,458,162,25,65,1600,944,392,68,397,1812,27,2790,289,180,157,97,126,154,35
