,Hokkaido,Aomori,Iwate,Miyagi,Akita,Yamagata,Fukushima,Ibaraki,Tochigi,Gunma,Saitama,Chiba,Tokyo,Kanagawa,Niigata,Toyama,Ishikawa,Fukui,Yamanashi,Nagano,Gifu,Shizuoka,Aichi,Mie,Shiga,Kyoto,Osaka,Hyogo,Nara,Wakayama,Tottori,Shimane,Okayama,Hiroshima,Yamaguchi,Tokushima,Kagawa,Ehime,Kochi,Fukuoka,Saga,Nagasaki,Kumamoto,Oita,Miyazaki,Kagoshima,Okinawa
Hokkaido,602116,2070,263,1787,274,645,371,2969,629,2035,5623,1270,4993,3544,3201,1123,219,92,88,255,350,1784,1179,123,323,527,7821,1964,23,164,0,0,141,571,536,43,66,49,110,969,82,0,3,0,2,5,0
Aomori,1185,223794,8268,2661,2846,333,5606,769,384,1046,3784,1032,2877,1892,584,26,22,27,60,185,35,129,642,29,30,81,1332,432,31,2,17,2,203,22,13,6,9,10,0,75,0,68,133,2,116,108,0
Iwate,970,5346,217728,29113,2316,1948,1570,1404,1175,750,2987,1174,1851,2891,506,47,171,39,11,112,0,1565,1136,122,14,121,323,654,7,18,6,0,55,24,0,1,0,7,1,68,23,0,15,4,10,14,0
Miyagi,2929,6410,19599,239230,12678,13613,22723,2854,2806,1264,12759,5033,4379,5766,3008,4987,262,54,32,654,81,2205,2311,930,57,60,1186,2028,8,49,1,4,16,134,66,15,29,3,2,305,3,11,180,10,3,3,1
Akita,833,1311,4331,2475,118773,1289,1127,1002,179,353,1695,489,825,1004,2142,104,69,44,6,118,592,662,1496,86,6,234,301,419,1,0,3,0,25,2,0,0,1,0,0,18,0,1,7,1,0,1,0
Yamagata,172,1111,1325,9176,2649,93088,1728,1722,1072,618,2606,1206,3275,3236,3830,94,148,90,79,243,75,193,1024,209,82,194,1067,974,10,1,51,3,352,142,35,7,53,4,1,380,101,0,12,17,0,6,13
Fukushima,2043,1863,2488,54198,464,4032,228560,11038,9123,4089,10550,4686,5848,9138,2925,199,378,81,305,593,566,2363,2800,831,294,186,1262,712,14,56,7,15,2302,566,53,8,218,57,3,256,6,5,20,207,16,10,0
Ibaraki,4585,442,1401,11499,1250,597,9682,267393,42759,15905,31741,65129,36192,34188,5558,1640,453,427,1638,2868,1124,6622,8308,2246,2086,2177,7664,3682,325,794,39,66,1925,507,636,196,129,214,21,1662,485,59,180,102,450,90,9
Tochigi,1597,2729,2185,4052,1116,2246,4731,69734,176083,31038,45346,16109,32339,19015,5757,865,332,638,992,6172,664,4885,7633,1578,779,1318,6172,1820,138,89,102,205,3622,621,345,271,170,118,4,1277,561,12,242,63,61,150,48
Gunma,1407,622,613,4021,622,658,5317,14679,11530,161725,39432,12360,29909,26839,2486,540,324,87,2418,3788,1415,2857,11117,4457,1028,1206,8529,3201,523,100,83,47,1069,1365,246,66,345,382,92,1293,154,39,179,164,287,48,42
Saitama,4203,1155,1122,5633,360,1991,9120,59521,19755,29942,396177,48783,159705,52534,7148,948,397,594,32041,6080,1802,10042,15053,3074,1698,1357,5048,4310,365,137,23,65,1285,860,375,60,393,1728,25,2772,270,166,139,80,113,121,30
