Series Name,Series Code,Country Name,Country Code,2021 [YR2021]
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Afghanistan,AFG,66797918068.5774
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Albania,ALB,44464843324.881
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Algeria,DZA,535802556587.487
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,American Samoa,ASM,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Andorra,AND,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Angola,AGO,223968329962.469
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Antigua and Barbuda,ATG,1958531523.18315
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Argentina,ARG,1083361763233
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Armenia,ARM,43518226807.9485
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Aruba,ABW,4548955165.72919
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Australia,AUS,1437172297451.33
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Austria,AUT,533341482570.592
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Azerbaijan,AZE,160729472760.502
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,"Bahamas, The",BHS,13537883107.8404
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Bahrain,BHR,79392034653.1786
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Bangladesh,BGD,1099767213458.98
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Barbados,BRB,4249201201.54306
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Belarus,BLR,202671495340.37
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Belgium,BEL,688480845299.085
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Belize,BLZ,3850927852.10185
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Benin,BEN,47426198185.2374
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Bermuda,BMU,5632141148.61389
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Bhutan,BTN,9316861178.72335
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Bolivia,BOL,106855999403.033
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Bosnia and Herzegovina,BIH,57218377285.3752
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Botswana,BWA,42202045545.4369
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Brazil,BRA,3435882150019.29
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,British Virgin Islands,VGB,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Brunei Darussalam,BRN,29419224102.1677
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Bulgaria,BGR,193354340949.162
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Burkina Faso,BFA,52924624145.5729
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Burundi,BDI,9721452801.8507
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Cabo Verde,CPV,3949066550.61253
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Cambodia,KHM,79360287089.7949
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Cameroon,CMR,110570898173.279
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Canada,CAN,2016038366732.46
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Cayman Islands,CYM,5052644014.08936
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Central African Republic,CAF,5021009903.68172
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Chad,TCD,26904179972.132
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Channel Islands,CHI,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Chile,CHL,552981391697.36
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,China,CHN,27312548291593.1
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Colombia,COL,869840627132.734
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Comoros,COM,2914175292.48454
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,"Congo, Dem. Rep.",COD,113107029912.041
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,"Congo, Rep.",COG,20736299344.6761
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Costa Rica,CRI,116100281095.227
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Cote d'Ivoire,CIV,160749183471.489
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Croatia,HRV,134685972582.603
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Cuba,CUB,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Curacao,CUW,3478918595.46195
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Cyprus,CYP,39980263498.8216
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Czechia,CZE,480313797723.704
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Denmark,DNK,378863832299.818
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Djibouti,DJI,5967441822.44195
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Dominica,DMA,865363745.087201
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Dominican Republic,DOM,227499666712.829
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Ecuador,ECU,208600950803.523
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,"Egypt, Arab Rep.",EGY,1388329424822.99
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,El Salvador,SLV,63027295302.7531
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Equatorial Guinea,GNQ,26282447438.7075
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Eritrea,ERI,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Estonia,EST,56420510064.9406
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Eswatini,SWZ,11600878053.0651
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Ethiopia,ETH,306447087760.791
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Faroe Islands,FRO,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Fiji,FJI,10522588362.3812
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Finland,FIN,305959912421.826
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,France,FRA,3455864816389.23
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,French Polynesia,PYF,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Gabon,GAB,35529000505.4917
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,"Gambia, The",GMB,6022454960.04951
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Georgia,GEO,63096682194.0307
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Germany,DEU,4849560695227.46
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Ghana,GHA,196050132518.675
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Gibraltar,GIB,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Greece,GRC,335133033938.539
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Greenland,GRL,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Grenada,GRD,1873866431.76793
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Guam,GUM,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Guatemala,GTM,167792339917.516
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Guinea,GIN,39251579673.6738
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Guinea-Bissau,GNB,4146064483.44827
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Guyana,GUY,19379525610.189
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Haiti,HTI,36095639132.6724
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Honduras,HND,62919565687.4281
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,"Hong Kong SAR, China",HKG,488461722079.693
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Hungary,HUN,357074809712.595
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Iceland,ISL,21599436220.8163
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,India,IND,10193555145927.3
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Indonesia,IDN,3566265111446.87
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,"Iran, Islamic Rep.",IRN,1449336478964.25
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Iraq,IRQ,428633553457.637
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Ireland,IRL,530404211734.27
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Isle of Man,IMN,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Israel,ISR,406793288533.742
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Italy,ITA,2741817339469.38
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Jamaica,JAM,29811646922.6362
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Japan,JPN,5310169524261.11
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Jordan,JOR,112959970081.443
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Kazakhstan,KAZ,545041403819.964
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Kenya,KEN,276221293785.249
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Kiribati,KIR,274253748.691423
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,"Korea, Dem. People's Rep.",PRK,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,"Korea, Rep.",KOR,2425556119305.55
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Kosovo,XKX,23318334908.5639
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Kuwait,KWT,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Kyrgyz Republic,KGZ,35397528301.5484
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Lao PDR,LAO,64008799938.2234
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Latvia,LVA,64575186898.9029
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Lebanon,LBN,79732404838.245
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Lesotho,LSO,5752756216.43659
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Liberia,LBR,8120180788.46175
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Libya,LBY,162527823149.666
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Liechtenstein,LIE,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Lithuania,LTU,120984865729.221
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Luxembourg,LUX,85361281976.9435
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,"Macao SAR, China",MAC,48876569462.7431
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Madagascar,MDG,46494497008.9213
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Malawi,MWI,32582425634.7195
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Malaysia,MYS,971274521662.056
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Maldives,MDV,10750030600.0902
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Mali,MLI,51032174284.6998
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Malta,MLT,25359865479.4025
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Marshall Islands,MHL,275411600.233808
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Mauritania,MRT,26909069259.1698
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Mauritius,MUS,29164050394.3789
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Mexico,MEX,2480684356316.28
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,"Micronesia, Fed. Sts.",FSM,412033894.04114
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Moldova,MDA,40249130836.3919
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Monaco,MCO,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Mongolia,MNG,42914813892.9472
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Montenegro,MNE,14514577049.8743
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Morocco,MAR,333242868979.042
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Mozambique,MOZ,43230912231.7895
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Myanmar,MMR,238337478243.118
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Namibia,NAM,25399523677.949
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Nauru,NRU,164211233.477789
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Nepal,NPL,126440077054.981
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Netherlands,NLD,1117869147128.96
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,New Caledonia,NCL,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,New Zealand,NZL,242228481745.722
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Nicaragua,NIC,42437042534.81
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Niger,NER,32918624235.7563
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Nigeria,NGA,1154069970945.9
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,North Macedonia,MKD,37882603303.4733
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Northern Mariana Islands,MNP,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Norway,NOR,435667115250.515
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Oman,OMN,170313524882.259
