Time,A,B,C,D,E,F,G,H,I,J
10,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
20,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
30,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
40,Nest,Other,Other,Other,Other,Other,Other,Other,Other,Other
50,Other,Other,Other,Other,Other,Other,Other,Toilet,Other,Other
60,Other,Other,Other,Other,Other,Other,Other,Toilet,Other,Other
70,Other,Other,Other,Other,Other,Other,Other,Toilet,Other,Other
80,Other,Other,Other,Other,Other,Other,Other,Toilet,Other,Other
90,Other,Other,Other,Other,Other,Other,Other,Nest,Other,Other
100,Other,Other,Other,Other,Other,Other,Other,Nest,Other,Other
110,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
120,Other,Other,Other,Other,Other,Other,Other,Nest,Other,Other
130,Other,Other,Other,Other,Other,Other,Other,Nest,Other,Nest
140,Garbage,Other,Other,Other,Other,Other,Other,Nest,Other,Toilet
150,Other,Other,Other,Other,Other,Other,Other,Nest,Other,Other
160,Other,Other,Other,Other,Other,Other,Other,Nest,Other,Other
170,Other,Other,Other,Other,Other,Other,Other,Nest,Other,Other
180,Other,Other,Other,Other,Other,Other,Other,Nest,Other,Other
190,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
200,Nest,Other,Other,Other,Other,Other,Other,Other,Other,Other
210,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
220,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
230,Other,Other,Other,Other,Other,Other,Other,Toilet,Other,Other
240,Garbage,Other,Other,Other,Other,Other,Other,Toilet,Other,Other
250,Other,Other,Other,Other,Other,Other,Other,Toilet,Other,Other
260,Other,Other,Other,Other,Other,Other,Other,Toilet,Other,Other
270,Other,Other,Other,Other,Other,Other,Other,Toilet,Other,Other
280,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
290,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
300,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
310,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
320,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
330,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
340,Other,Other,Other,Other,Other,Other,Other,Other,Other,Toilet
350,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
360,Other,Other,Other,Other,Other,Other,Other,Other,Other,Toilet
370,Other,Other,Other,Other,Other,Other,Other,Other,Other,Toilet
380,Other,Other,Other,Other,Other,Other,Other,Other,Other,Toilet
390,Nest,Other,Other,Other,Other,Other,Other,Other,Other,Toilet
400,Other,Other,Other,Other,Other,Other,Other,Other,Other,Toilet
410,Other,Other,Other,Other,Other,Other,Other,Other,Other,Toilet
420,Other,Nest,Other,Other,Other,Other,Other,Other,Other,Toilet
430,Other,Nest,Other,Other,Other,Other,Other,Other,Other,Toilet
440,Other,Other,Other,Other,Other,Other,Other,Other,Other,Toilet
450,Other,Other,Other,Other,Other,Other,Other,Other,Other,Toilet
460,Other,Other,Other,Other,Other,Other,Other,Other,Other,Toilet
470,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
480,Other,Other,Other,Other,Other,Other,Other,Other,Other,Nest
490,Other,Other,Other,Other,Other,Other,Other,Other,Other,Nest
500,Other,Other,Other,Other,Other,Other,Other,Other,Other,Nest
510,Other,Other,Other,Other,Other,Other,Other,Other,Other,Nest
520,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
