Date_reported,Country_code,Country,New_cases
2020/1/3,CN,China,0
2020/1/4,CN,China,1
2020/1/5,CN,China,0
2020/1/6,CN,China,3
2020/1/7,CN,China,0
2020/1/8,CN,China,0
2020/1/9,CN,China,0
2020/1/10,CN,China,0
2020/1/11,CN,China,0
2020/1/12,CN,China,41
2020/1/13,CN,China,0
2020/1/14,CN,China,0
2020/1/15,CN,China,0
2020/1/16,CN,China,0
2020/1/17,CN,China,4
2020/1/18,CN,China,0
2020/1/19,CN,China,81
2020/1/20,CN,China,77
2020/1/21,CN,China,99
2020/1/22,CN,China,154
2020/1/23,CN,China,140
2020/1/24,CN,China,281
2020/1/25,CN,China,472
2020/1/26,CN,China,726
2020/1/27,CN,China,818
2020/1/28,CN,China,1836
2020/1/29,CN,China,1501
2020/1/30,CN,China,1861
2020/1/31,CN,China,2126
2020/2/1,CN,China,2126
2020/2/2,CN,China,2639
2020/2/3,CN,China,2875
2020/2/4,CN,China,3505
2020/2/5,CN,China,4109
2020/2/6,CN,China,3960
2020/2/7,CN,China,3358
2020/2/8,CN,China,3486
2020/2/9,CN,China,2797
2020/2/10,CN,China,3234
2020/2/11,CN,China,2528
2020/2/12,CN,China,2053
2020/2/13,CN,China,16103
2020/2/14,CN,China,4257
2020/2/15,CN,China,2900
2020/2/16,CN,China,2048
2020/2/17,CN,China,2183
2020/2/18,CN,China,2002
2020/2/19,CN,China,1825
2020/2/20,CN,China,416
2020/2/21,CN,China,976
2020/2/22,CN,China,869
2020/2/23,CN,China,676
2020/2/24,CN,China,229
2020/2/25,CN,China,526
2020/2/26,CN,China,431
2020/2/27,CN,China,449
2020/2/28,CN,China,341
2020/2/29,CN,China,447
2020/3/1,CN,China,585
2020/3/2,CN,China,208
2020/3/3,CN,China,131
2020/3/4,CN,China,122
2020/3/5,CN,China,143
2020/3/6,CN,China,145
2020/3/7,CN,China,103
2020/3/8,CN,China,47
2020/3/9,CN,China,47
2020/3/10,CN,China,20
2020/3/11,CN,China,32
2020/3/12,CN,China,25
2020/3/13,CN,China,11
2020/3/14,CN,China,32
2020/3/15,CN,China,28
2020/3/16,CN,China,30
2020/3/17,CN,China,41
2020/3/18,CN,China,36
2020/3/19,CN,China,86
2020/3/20,CN,China,67
2020/3/21,CN,China,117
2020/3/22,CN,China,87
2020/3/23,CN,China,103
2020/3/24,CN,China,146
2020/3/25,CN,China,106
2020/3/26,CN,China,118
2020/3/27,CN,China,125
2020/3/28,CN,China,136
2020/3/29,CN,China,132
2020/3/30,CN,China,106
2020/3/31,CN,China,105
2020/4/1,CN,China,90
2020/4/2,CN,China,99
2020/4/3,CN,China,82
2020/4/4,CN,China,73
2020/4/5,CN,China,56
2020/4/6,CN,China,77
2020/4/7,CN,China,73
2020/4/8,CN,China,90
2020/4/9,CN,China,94
2020/4/10,CN,China,58
2020/4/11,CN,China,65
2020/4/12,CN,China,119
2020/4/13,CN,China,117
2020/4/14,CN,China,102
2020/4/15,CN,China,51
2020/4/16,CN,China,55
2020/4/17,CN,China,28
2020/4/18,CN,China,373
2020/4/19,CN,China,21
2020/4/20,CN,China,36
2020/4/21,CN,China,13
2020/4/22,CN,China,40
2020/4/23,CN,China,16
2020/4/24,CN,China,9
2020/4/25,CN,China,13
2020/4/26,CN,China,15
2020/4/27,CN,China,3
2020/4/28,CN,China,6
2020/4/29,CN,China,23
2020/4/30,CN,China,4
2020/5/1,CN,China,13
2020/5/2,CN,China,3
2020/5/3,CN,China,5
2020/5/4,CN,China,7
2020/5/5,CN,China,4
2020/5/6,CN,China,2
2020/5/7,CN,China,3
2020/5/8,CN,China,6
2020/5/9,CN,China,1
2020/5/10,CN,China,14
2020/5/11,CN,China,21
2020/5/12,CN,China,1
2020/5/13,CN,China,7
2020/5/14,CN,China,6
2020/5/15,CN,China,5
2020/5/16,CN,China,9
2020/5/17,CN,China,6
2020/5/18,CN,China,10
2020/5/19,CN,China,6
2020/5/20,CN,China,5
2020/5/21,CN,China,2
2020/5/22,CN,China,13
2020/5/23,CN,China,2
2020/5/24,CN,China,3
2020/5/25,CN,China,11
2020/5/26,CN,China,7
2020/5/27,CN,China,1
2020/5/28,CN,China,3
2020/5/29,CN,China,0
2020/5/30,CN,China,18
2020/5/31,CN,China,5
2020/6/1,CN,China,19
2020/6/2,CN,China,9
2020/6/3,CN,China,5
2020/6/4,CN,China,1
2020/6/5,CN,China,11
2020/6/6,CN,China,6
2020/6/7,CN,China,9
2020/6/8,CN,China,5
2020/6/9,CN,China,4
2020/6/10,CN,China,3
2020/6/11,CN,China,12
2020/6/12,CN,China,7
2020/6/13,CN,China,12
2020/6/14,CN,China,60
2020/6/15,CN,China,50
2020/6/16,CN,China,47
2020/6/17,CN,China,46
2020/6/18,CN,China,37
2020/6/19,CN,China,37
2020/6/20,CN,China,31
2020/6/21,CN,China,27
2020/6/22,CN,China,22
2020/6/23,CN,China,52
2020/6/24,CN,China,30
2020/6/25,CN,China,21
2020/6/26,CN,China,29
2020/6/27,CN,China,25
2020/6/28,CN,China,18
2020/6/29,CN,China,15
2020/6/30,CN,China,24
2020/7/1,CN,China,5
2020/7/2,CN,China,31
2020/7/3,CN,China,15
2020/7/4,CN,China,9
2020/7/5,CN,China,20
2020/7/6,CN,China,14
2020/7/7,CN,China,27
2020/7/8,CN,China,22
2020/7/9,CN,China,33
2020/7/10,CN,China,46
2020/7/11,CN,China,44
2020/7/12,CN,China,36
2020/7/13,CN,China,50
2020/7/14,CN,China,59
2020/7/15,CN,China,56
2020/7/16,CN,China,20
2020/7/17,CN,China,79
2020/7/18,CN,China,87
2020/7/19,CN,China,80
2020/7/20,CN,China,140
2020/7/21,CN,China,89
2020/7/22,CN,China,76
2020/7/23,CN,China,141
2020/7/24,CN,China,145
2020/7/25,CN,China,165
2020/7/26,CN,China,191
2020/7/27,CN,China,197
2020/7/28,CN,China,220
2020/7/29,CN,China,220
2020/7/30,CN,China,235
2020/7/31,CN,China,287
2020/8/1,CN,China,175
2020/8/2,CN,China,191
2020/8/3,CN,China,166
2020/8/4,CN,China,118
2020/8/5,CN,China,117
2020/8/6,CN,China,133
2020/8/7,CN,China,136
2020/8/8,CN,China,125
2020/8/9,CN,China,95
2020/8/10,CN,China,126
2020/8/11,CN,China,117
2020/8/12,CN,China,65
2020/8/13,CN,China,87
2020/8/14,CN,China,103
2020/8/15,CN,China,72
2020/8/16,CN,China,68
2020/8/17,CN,China,104
2020/8/18,CN,China,70
2020/8/19,CN,China,55
2020/8/20,CN,China,34
2020/8/21,CN,China,41
2020/8/22,CN,China,50
2020/8/23,CN,China,39
2020/8/24,CN,China,43
2020/8/25,CN,China,25
2020/8/26,CN,China,34
2020/8/27,CN,China,32
2020/8/28,CN,China,30
2020/8/29,CN,China,22
2020/8/30,CN,China,30
2020/8/31,CN,China,32
2020/9/1,CN,China,20
2020/9/2,CN,China,20
2020/9/3,CN,China,21
2020/9/4,CN,China,35
2020/9/5,CN,China,24
2020/9/6,CN,China,19
2020/9/7,CN,China,35
2020/9/8,CN,China,22
2020/9/9,CN,China,9
2020/9/10,CN,China,13
2020/9/11,CN,China,29
2020/9/12,CN,China,20
2020/9/13,CN,China,24
2020/9/14,CN,China,31
2020/9/15,CN,China,24
2020/9/16,CN,China,16
2020/9/17,CN,China,20
2020/9/18,CN,China,44
2020/9/19,CN,China,18
