ROI1	ROI2
-2.107387796	-0.807602907
-1.958677704	-0.424892729
-1.692524204	-0.078241555
-1.258927235	0.237195547
-0.664899357	0.515992878
0.002405163	0.694141011
0.629342251	0.667700623
1.153616324	0.398955244
1.56938837	0.007556907
1.869750888	-0.257564904
2.016087193	-0.173689529
1.96347523	0.269386354
1.702039859	0.800187016
1.272831681	1.014385052
0.749287097	0.698986472
0.218742705	0.076062588
-0.227413956	-0.344137935
-0.532764139	-0.227725137
-0.709995831	0.300233398
-0.794096117	0.84093286
-0.776653452	1.085576955
-0.631161951	0.966051773
-0.378155924	0.571608677
-0.066489502	0.035368878
0.264866622	-0.521761244
0.525386517	-1.031435174
0.533666219	-1.496162098
0.165469983	-1.936934313
-0.458506329	-2.311741452
-1.021045232	-2.50385681
-1.24714355	-2.393034674
-1.049559989	-1.947401493
-0.505218205	-1.277646526
0.204980875	-0.590914408
0.843013498	-0.050603436
1.187345342	0.302943863
1.119090736	0.472075153
0.665315079	0.414613783
-0.019696468	0.124173971
-0.731818984	-0.227685806
-1.304927833	-0.339656963
-1.652577612	-0.056196436
-1.762351634	0.421553428
-1.666800156	0.690385153
-1.397604724	0.553869699
-0.961165909	0.225698168
-0.374200643	0.09360426
0.28009419	0.341703498
0.858238945	0.844303847
1.224829876	1.345354173
1.325951651	1.651707767
1.21829628	1.697515584
1.025686739	1.545826445
0.864376211	1.378312168
0.79589674	1.398474336
0.824710426	1.641854719
0.907344624	1.891786088
0.943703182	1.857831256
0.774296394	1.447467451
0.259388358	0.829861929
-0.556487996	0.258870665
-1.363642536	-0.117643383
-1.757742026	-0.301831987
-1.54866506	-0.390647039
-0.898166817	-0.521273992
-0.176017784	-0.811209713
0.313387547	-1.249569802
0.494573278	-1.632491801
0.470070058	-1.674962494
0.363743612	-1.233332584
0.244675269	-0.426973963
0.170029188	0.421846842
0.205884394	0.942524712
0.357884889	0.907365851
0.523308556	0.407243093
0.565010404	-0.166963824
0.415154747	-0.431848471
0.108937685	-0.324384995
-0.227491341	-0.055494221
-0.406241789	0.192589812
-0.276620701	0.395232282
0.144072415	0.546424024
0.662434774	0.561021601
1.053157271	0.367263829
1.210690181	0.003853791
1.164662607	-0.425170623
0.983010734	-0.837377552
0.70191788	-1.164012946
0.350410764	-1.292210319
-0.003203442	-1.106996193
-0.272252721	-0.633741113
-0.417886986	-0.082504544
-0.491942781	0.297823889
-0.617074904	0.381701228
-0.890994318	0.192370199
-1.274044162	-0.153795325
-1.59444038	-0.513217302
-1.69059603	-0.791941704
-1.524220191	-0.983291807
-1.181894291	-1.122763611
-0.819932119	-1.220676507
-0.572616859	-1.234619002
-0.454890523	-1.076205265
